"Timestamp","What is your association status at IIASA?","What is your gender?","How long have you lived in Austria?","Do you have dependents living with you in Austria?","How long have you lived separately from your families due to your IIASA employment? ","What is the main reason for you to live separately from your families? (Select all that apply)","If you want to provide more details about the reason, please do so.","Do you foresee that they join you in Austria in the near future?","How long have you lived in Austria WITH your children?","How many children do you have and how old are they? (If you have none, leave them blank.) [Child 1]","How many children do you have and how old are they? (If you have none, leave them blank.) [child 2]","How many children do you have and how old are they? (If you have none, leave them blank.) [Child 3]","How many children do you have and how old are they? (If you have none, leave them blank.) [Child 4]","How many children do you have and how old are they? (If you have none, leave them blank.) [Child 5]","Do any of your children stay involuntarily at home (i.e. not attending kindergarten or school)? If so, why?","Are you aware that in accordance with Austrian labor law you can have extra leave, separate from normal annual leave, for nursing your family members (when certain conditions are met)?","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [IIASA HR]","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [Other IIASA families]","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [Other non-IIASA friends]","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [Local government]","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [Internet]","How much do you think you are paying for childcare per month per child? (e.g. babysitting, tuition, other activities, etc.)","Are you receiving family allowance (""familienbeihilfe"") for all of your eligible children at the moment?","If you are not receiving it, can you tell us the reason?","If you are from the EU, how difficult was the application process for familienbeihilfe?","Are all children covered by health insurance?","If they are not, can you tell us the reason?","Do they all have pediatricians to go to?","If they don't, can you tell us the reason?","Are you covered by the private (Cigna) or the Austrian scheme?","Please leave any notes if you have any concerns or issues about medical care or insurances in Austria.","Are you or your partner from Austria?","Are you or your partner from other EU countries?","Are you or your partner able to communicate in German?","Are you or your partner learning German now?","If no adult in your family is learning German, what are the main reasons? (Select all that apply)","What are the main challenges you experience when you don't communicate well in German in Austria?","Does your family have a social circle who you can easily get together with or rely on when something happens?","Who mainly are in your social circles? (Select all)","If you are finding it difficult to socialize, can you explain what your main challenge is?","Does your partner currently work?","How long did it take for your partner to find a job since starting to search?","Is your partner working in the field related to his/her original career/qualifications?","Is your partner looking for a job now?","If the partner is not looking, was it a voluntary decision?","What are/were the barriers for your partner's career development in Austria? (Select all that apply)","If you want to provide more details about the job search or business experiences, please do so.","How would you assess each of the challenges? [Socializing]","How would you assess each of the challenges? [Financial]","How would you assess each of the challenges? [Partner's job/career]","How would you assess each of the challenges? [Childcare (incl. Education)]","How helpful do you think it would be to officially introduce the measures below for the benefit of families? [Flextime]","How helpful do you think it would be to officially introduce the measures below for the benefit of families? [Telecommuting (work from home)]","Many Austrian organisations jointly run ""Dual Career Service"" to facilitate ""the networking of member organisations from the research and scientific domain [...] to improve the support for dual career couples."" (See for example, http://www.dualcareer.ac.at or http://dcss.wwtf.at) How helpful do you think it would be for IIASA to join such network?  [Dual Career Service]","Would you recommend other specific measures or services to implement to increase family well-being?","We would like to welcome any other suggestions on the topic of 'family well-being at IIASA.' (e.g. how to improve the situation, any other difficulties, how to set up information channels, etc.)"
"2017/11/09 12:14:29 PM GMT+1","Employee","Female","1-3 years","Yes, with children.","","","","","1-3 years","3-6","","","","","","No","Never","From time to time","Most of the time","From time to time","Most of the time","EUR 600-1000","Yes","","3","Yes","","Yes","","Austrian","","No","Yes, both","Yes, my partner","Yes","","Dealing with the Austrian Administration can be quite frustrating sometimes. They barely speak any English or they refuse to. Some procedures are very complex and our German is not enough. 
At restaurants it is also difficult. Waiters are often not too friendly and it gets very difficult to demand a proper service or give a proper answer when necessary.

","3","IIASA colleagues or their families;People living in the same neighborhood","For us is difficult to get to know other families, specially Austrians. There are cultural differences, but also we simply don't understand what are their habits with kids e.g. we go to the park, and we can't find many children. We don't speak properly the language and this turns into a barrier when trying to meet other parents at the kindergarten. We don't leave in Vienna, and I have the impression that Austrians living in Modling and Laxenburg is more conservative and perhaps less open to ""foreign"". 
We also struggle to find nice things to do with kids (activities, events, etc.) because we are not that fluent in German to spot always where and what to do. 

Most of the people that surround us has no kids, which limits our capacity to join many of the proposed activities (many are not doable for small kids). ","Yes, paid full-time","Less than 6 months","Yes","","","Language;Lack of network (people or other resources)","","Somewhat problematic.","We don't have this problem.","Somewhat problematic.","Somewhat problematic.","Extremely helpful","Extremely helpful","Extremely helpful","Information regarding childcare benefits, educational options, family activities","For IIASA newcomers and families it is important to better assist them with the administrative procedures they have to follow and provide them with sufficient information to make the appropriate choices (Austrian education and childcare system, family subsidies, car plate registration, more details on the benefits and disadvantages of the private versus the public insurance options e.g. maternity leave coverage, dentists, unemployment subsidies-  family discounts and cards)

A family club at IIASA might be a good idea. Or maybe that some of the existing clubs, develop activities which are child-inclusive. I would love to go hiking, skiing, skating, or do gardening  with my IIASA fellows in ways that I can bring my family and specially my children in. 

I ma not sure how this could work, but I have the feeling that a lot of the partners from IIASA staff that move to Austria struggle to settle down, specially of they don't' have a job and don't speak the language. Promoting social/cultural  activities, even during working hours, for those that are unemployed or don't work but have time, might be a good way to make everyone feel more accompanied and integrated. "
"2017/11/10 10:14:13 AM GMT+1","Employee","Female","Less than a year","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","IIASA Human Resources did not give adequate information on where to find doctors, what insurance covers, and alternatives. This information is hard to find outside, in general and in English","No","Yes, my partner","No","Yes","","People are rude to foreigners. General doctor said when I asked for a regular check up: ""Do you go to every country to waste the insurance money on merely checkups?"" In my country, preventive culture is a must, and yes, checkups are mandatory. 
Also, doctor needs to know all the medical history, this is hard to do when not fluent in german","3","Extended family (grandparents and other relatives);IIASA colleagues or their families;People from the same country or similar region","","Yes, paid full-time","Less than 6 months","Yes","","","No barriers","","A minor problem.","A minor problem.","We don't have this problem.","We don't have this problem.","Extremely helpful","Extremely helpful","Extremely helpful","Organize family gatherings in IIASA (on weekends?) so that families can meet ",""
"2017/11/10 8:58:22 PM GMT+1","Employee","Male","5-10 years","Yes, with children.","","","","","5-10 years","7-12","3-6","","","","no","Yes","From time to time","Most of the time","From time to time","Rarely","From time to time","EUR 200-400","Yes","I currently receive it from IIASA, only from Jan. 2017; before that I inquired about it with HR, but only got the answer ""wrong passport"". BTW, my spouse works full-time at home.","","Yes","","Yes","","Cigna","","No","No","No","Yes","My spouse is learning; I have no time for that.","Even with basic oral communication capacity, understanding long policy documents is still impossible.","3","Families of my children's school/kindergarten friends;People from the same country or similar region","","No","","","No","No","Language;Lack of network (people or other resources);Lack of work permit;Too small job market","","Somewhat problematic.","Extremely serious. I can consider leaving because of this.","Serious.","Serious.","Extremely helpful","Extremely helpful","Better to have","",""
"2017/11/12 2:02:30 PM GMT+1","Employee","Male","Less than a year","Yes, with children.","","","","","Less than a year","13-17","13-17","7-12","7-12","","No","Yes","Rarely","From time to time","From time to time","Rarely","Most of the time","EUR 200-400","Yes","","3","Yes","","Yes","","Cigna","Almost no doctors/services with Cigna contract (lower fees agreed with Cigna) in Bezirk Moedling - everything in Vienna","No","Yes, both","Yes, both","","","","4","IIASA colleagues or their families;Families of my children's school/kindergarten friends","With 4 children social life in the evenings is rather limited","No","","","Yes","","Language;Lack of network (people or other resources);Too small job market;Language (not speaking perect German or English)","Recognition in Austria of education/work certificates from outside EU - no idea how to do it","Somewhat problematic.","A minor problem.","Serious.","Somewhat problematic.","Better to have","Better to have","Extremely helpful","Organize an IIASA circle for colleagues with children to plan joint trips or weekend programs, thus also knowing colleagues and their families better","Provide better understanding of Austrian school system (e.g. choices after primary school, matura etc.)
Provide more information about things in offer (e.g. we were never informed that there is a Niederoesterreich-Card to get discounts for families with children; activities for kids in Vienna etc.)"
"2017/11/15 10:05:00 AM GMT+1","Employee","Male","3-5 years","Yes, with children.","","","","","Less than a year","0-2","","","","","no","Yes","Never","From time to time","From time to time","From time to time","From time to time","","No","","","Yes","","Yes","","Austrian","","Yes, my partner","","","","","","1","Extended family (grandparents and other relatives);IIASA colleagues or their families;People from the same country or similar region","","Yes, paid part-time","","Yes","","","Too small job market","","We don't have this problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","Better to have","Better to have","Better to have","","Improving communication and follow-through between HR and employees on what family benefits one is entitled to."
"2017/11/15 4:00:48 PM GMT+1","Employee","Female","1-3 years","Yes, with children.","","","","","1-3 years","3-6","","","","","No","No","Never","Never","Most of the time","Never","From time to time","over EUR 1000","Yes","","","Yes","","No","Haven't gone to a local pediatrician yet. Instead, we have just been using the Embassy doctors for our daughter so far.","Covered by my husband's health insurance","","No","No","Yes, my partner","No","","I have mostly been able to communicate in English. I do wonder what IIASA families do if they are not able to communicate well in either German or English.","2","IIASA colleagues or their families;People from the same country or similar region","","Yes, paid full-time","He had a job when we moved.","Yes","","","","","A minor problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","Extremely helpful","Extremely helpful","Extremely helpful","Through my husband's employee, we were connected to a family ""sponsor"" who was already living in Vienna. We were able to communicate with them before we moved to discuss things like daycare, etc. This was in addition to my husband having a work ""sponsor"" as well. Currently, IIASA does not offer its employees either. I think our experience moving to Vienna was different than most IIASA families because we had all this additional support, which IIASA does not offer.","IIASA used to have a daycare. My understanding is it was closed because the employees were aging and it was not necessary anymore. I think this should be reconsidered. At least in Vienna, it is very difficult to find childcare for infants before one year. I realize that employees (especially mothers) can take a significant amount of time off, but not everyone might want to take all the offered time. Having an onsite daycare that takes infants at 3 months or 6 months could help women who want to come back to work earlier. Furthermore, employees remember fun stories have how employees from different nationalities would become friends because their children in daycare were friends. "
"2017/11/16 3:54:07 PM GMT+1","Employee","Female","1-3 years","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Extremely helpful","Extremely helpful","Better to have","",""
"2017/11/16 3:54:43 PM GMT+1","Employee","Female","5-10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","GKK plus zusatzversicherung ","Yes, my partner","","","","","","1","Extended family (grandparents and other relatives);People from the same country or similar region;People living in the same neighborhood","","Yes, paid full-time","Less than 6 months","Yes","","","No barriers","","We don't have this problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","Better to have","Better to have","Better to have","",""
"2017/11/16 3:54:52 PM GMT+1","Employee","Female","Less than a year","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Don't care","Better to have","Better to have","",""
"2017/11/16 3:55:47 PM GMT+1","Guest","Female","Less than a year","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Extremely helpful","Don't care","Don't care","",""
"2017/11/16 3:57:13 PM GMT+1","Employee","Male","3-5 years","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Better to have","Better to have","Better to have","",""
"2017/11/16 3:57:45 PM GMT+1","Employee","Female","More than 10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","","Yes, both","","","","","","1","Extended family (grandparents and other relatives);People from the same country or similar region","","Yes, paid full-time","Less than 6 months","Yes","","","No barriers","","A minor problem.","A minor problem.","We don't have this problem.","We don't have this problem.","Extremely helpful","Better to have","Better to have","",""
"2017/11/16 4:00:07 PM GMT+1","Employee","Female","3-5 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","","No","Yes, my partner","Yes, my partner","Yes","Lack of time","","3","IIASA colleagues or their families","","Yes, paid full-time","we both got a job in Austria","Yes","","","Language;Lack of network (people or other resources);We did not search for a job.","","Serious.","A minor problem.","Serious.","Serious.","Better to have","Better not to have","Better to have","",""
"2017/11/16 4:00:29 PM GMT+1","Employee","Male","1-3 years","Yes, with children.","","","","","Less than a year","0-2","","","","","no","Yes","From time to time","From time to time","From time to time","Never","Rarely","EUR 0-200","Yes","","","Yes","","Yes","","Cigna","","No","No","No","No","Lack of time;No incentives (e.g. short fixed-term contract, uncertainty in contract renewal, etc)","Communication difficulties in rare contexts.","2","IIASA colleagues or their families;Long-term friends from Austria.","","Yes, paid part-time","brought job to Austria","Yes","","","We did not search for a job.","","A minor problem.","A minor problem.","Somewhat problematic.","We don't have this problem.","Extremely helpful","Extremely helpful","Don't care","",""
"2017/11/16 4:00:49 PM GMT+1","Employee","Male","Less than a year","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Extremely helpful","Extremely helpful","Extremely helpful","",""
"2017/11/16 4:07:55 PM GMT+1","Employee","Male","Less than a year","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","","No","No","No","Yes","Lack of time;Finance","","3","People from the same country or similar region","Language","No","","","","No","Language;Lack of work permit","she hopes but it is really hard because iiasa employees families are not allowed to work here and specially we are not from EU countries","","Extremely serious. I can consider leaving because of this.","Extremely serious. I can consider leaving because of this.","","Extremely helpful","Extremely helpful","","",""
"2017/11/16 4:31:32 PM GMT+1","Employee","Male","3-5 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","I had to many cases of unprofessional treatment from doctors, e.g., wrong diagnosis and so on. I do not know how to complain about it.","No","No","Yes, my partner","Yes","No incentives (e.g. short fixed-term contract, uncertainty in contract renewal, etc)","","3","IIASA colleagues or their families;People from the same country or similar region","","No","","","Yes","","Lack of network (people or other resources);Lack of work permit","","Serious.","A minor problem.","Extremely serious. I can consider leaving because of this.","","Better to have","Better to have","Extremely helpful","1. IIASA can provide some unpaid work experience for family members and provide them reccomendations
2. IIASA have to fight for work permits for family members = real work permits, not permits for applying for permits!!!!",""
"2017/11/16 4:31:56 PM GMT+1","Employee","Female","3-5 years","Yes, with children.","","","","","","0-2","3-6","","","","","Yes","Most of the time","","","","","EUR 200-400","Yes","","2","Yes","","Yes","","Combination of both","","No","Yes, both","Yes, myself","Yes","","","1","Families of my children's school/kindergarten friends;People from the same country or similar region","","Yes, self-employed - informal business","","","","","Too small job market","","We don't have this problem.","A minor problem.","A minor problem.","A minor problem.","Useless","Useless","Useless","",""
"2017/11/16 5:02:08 PM GMT+1","Employee","Male","3-5 years","single parent of a 2 year old","NA","Divorced","","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Extremely helpful","Extremely helpful","Better to have","",""
"2017/11/17 9:41:31 AM GMT+1","Employee","Male","More than 10 years","Yes, with children.","","","","","","7-12","7-12","","","","","No","Never","Never","Most of the time","Never","From time to time","EUR 400-600","Yes","","","Yes","","Yes","","Austrian","","Yes, my partner","","","","","","1","Families of my children's school/kindergarten friends;People living in the same neighborhood","","Yes, paid full-time","","Yes","","","No barriers","","We don't have this problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","Extremely helpful","Extremely helpful","","get a baby sitter so that you can go out together without kids once in a while","As a researcher at IIASA, the flexibility in working times makes it much easier to handle family business than for most other jobs"
"2017/11/17 11:07:29 AM GMT+1","Employee","Male","More than 10 years","Yes, with children.","","","","","1-3 years","0-2","","","","","","Yes","Rarely","From time to time","","From time to time","Most of the time","EUR 0-200","Yes","","1","Yes","","Yes","","Austrian","","Yes, both","","","","","","2","Extended family (grandparents and other relatives)","","No","","","No","Yes","","","A minor problem.","We don't have this problem.","Somewhat problematic.","We don't have this problem.","Better to have","Better to have","Better to have","",""
"2017/11/17 2:09:07 PM GMT+1","Employee","Male","Less than a year","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","I would have liked more organized information comparing the pros and cons public versus private insurance, ideally in written form (a table?) in order to make the right choice. In particular, a comparison of projected monthly costs for an employee, emplyee + spouse, family of 3, 4, etc. would have been very helpful, as would some information about the coverage vs. cost (to me) of various services (standard doctor's visit, X-ray, MRI, ER visit, etc.). Another important comparison would be the availability of standard medical services in English, in Vienna, Moedling and other places in the area, both with private insurance and with the public system. One could argue that the employee could/should look into whatever they're interested, but most people need very similar information, so there's lots of wasted effort (and employees who've just moved here have  lots of other things to take care of!). It'd be much more efficient to have this done once and for all, or updated once in a year or so, ideally by someone who can speak German and knows their way around the medical system here. ","No","No","No","Yes","","TEverything takes more time than I'm used to, and is much more complicated. Anything from finding a doctor I can understand, to finding an apartment, car, etc. Even using public transit can be confusing, and I sometimes don't end up where I want (or get there later... for example, once the bus driver tells me it's not the right bus... though I later discovered it was, after I took a different bus to get to my destination!) It's all difficult, down to the smallest things, like when I get charged the wrong price at the supermarket and I don't know how to point it out. ","5","IIASA colleagues or their families;We hardly know anyone.","It's hard to make friends when you can't have a proper conversation. It's hard to join clubs or activity groups when the activities are conducted in German. ","Yes, self-employed - formal business","","","","","Language;Lack of network (people or other resources);Lack of work permit;Cultural differences;We did not search for a job.","It doesn't make sense for us to look for a job until we get a work permit. ","Somewhat problematic.","We don't have this problem.","Extremely serious. I can consider leaving because of this.","We don't have this problem.","Extremely helpful","Extremely helpful","Better to have","The short-term (1 year) contracts typical at IIASA are extremely problematical 18 months would be a tremendous improvement. OF course, this has been mentioned before, but housing is typically either 15+ months, or short term, fully furnished and expensive. Even getting home internet is an issue: every single company I called wanted me to sign a contract (nobody had month-to-month service). We're currently using our phones as wifi hotspots, but it's both expensive, inconvenient, and somewhat unreliable, because 4G reception is not great where we live. ",""
"2017/11/18 11:37:58 AM GMT+1","Employee","Male","5-10 years","Yes, with children.","","","","","5-10 years","7-12","3-6","","","","No","No","From time to time","From time to time","From time to time","Never","From time to time","EUR 200-400","Yes","Only possible due to IIASA STAC in 2017 onwards. Thanks to STAC.","","Yes","","Yes","","Cigna","","No","No","Yes, my partner","No","Lack of time","It's difficult to socialize.","3","Families of my children's school/kindergarten friends;People from the same country or similar region","","No","","","Yes","","Lack of network (people or other resources);Lack of work permit","Lack of work permit is a key reason. Moreover, you need a good network to find a job. Even when my wife applied for general positions at IIASA it was told that IIASA does not encourage spouse to work at IIASA which is not true always. It varies from case to case. ","A minor problem.","Somewhat problematic.","Serious.","Somewhat problematic.","Extremely helpful","Extremely helpful","Extremely helpful","It would be nice if IIASA also consider the job applications of IIASA spouse (without work permit) based on their qualifications. The former HR Manager said it is against the IIASA policy while his wife was also employed at IIASA. I think this would be helpful only if it would be done in a transparent manner not on specific cases.  ","Some of the issues are widely known a) short-term contracts; b) no work permit of IIASA spouse; c) no clear policy on contract extension (some gets three year and some gets one year extension); d) very high difference in salary despite the similar educational qualifications and professional experience; e) no clear policy when someone is promoted to the next level (i. e. Senior Research Scholar). All the above-mentioned issues directly and indirectly affect family well beings. "
"2017/11/21 5:01:29 PM GMT+1","Employee","Male","5-10 years","Yes, with children.","","","","","1-3 years","0-2","","","","","My child stays at home involuntarily, in the sense that her parents make her!!!","Yes","From time to time","Rarely","From time to time","Rarely","From time to time","EUR 200-400","Yes","","2","Yes","","Yes","","Cigna","","No","No","Yes, both","","","","2","Non-IIASA families whom we know from various circles","Austrians - not the most open and accepting people on Earth","No","","","No","Yes","Lack of work permit;Too small job market","","Somewhat problematic.","A minor problem.","Extremely serious. I can consider leaving because of this.","Somewhat problematic.","Extremely helpful","Extremely helpful","Don't care","Give all upper-management staff (directors, program directors) some children so that they can empathize with those employees who do have them. The culture of IIASA is such that work comes first -- or at least that's the first thought in most people's minds, both for young, childless employees and older employees who have decided not to have children.","See my previous answer about upper-management staff.  It is much appreciated what STAC is trying to do here with respect to family well-being.  But some things are so ingrained at IIASA that they will undoubtedly be difficult, if not impossible, to change.  Doesn't mean we shouldn't try though.  A cynic would say that IIASA is as productive as it is precisely because family issues take a back seat to work output and that people who come to IIASA better know what they're signing up for.  From what I hear, things were even worse along this dimension during the romanticized glory days of IIASA in the 70s and 80s.  It is for these reasons that many people leave IIASA after a certain period of time."
"2017/12/12 10:46:06 PM GMT+1","Employee","Male","1-3 years","Yes, with children.","","","","","Less than a year","0-2","","","","","","Yes","From time to time","Most of the time","Most of the time","Rarely","Most of the time","EUR 200-400","Yes","","","Yes","","Yes","","Cigna","","No","No","Yes, my partner","No","Lack of time","At a reception of a hospital, at Rathaus for Meldezettel, at a customer call of post service, documents from an energy companies etc.","1","IIASA colleagues or their families;People from the same country or similar region;People living in the same neighborhood","","No","","","not now, but my partner will look for for a job","because of baby","Language;Lack of work permit","","A minor problem.","Somewhat problematic.","Serious.","Somewhat problematic.","Extremely helpful","Extremely helpful","Better to have","",""
